epoch,loss,vector_acc,concept_acc
0.0,0.7050474286079407,0.0,50.07267441860465
1.0,0.5704012361198368,1.2685643564356435,91.19776076444853
2.0,0.38109918020257905,2.332089552238806,92.68157757723013
3.0,0.30680202083829233,3.1353820598006643,93.48223943444333
4.0,0.26586604857831225,4.122506234413965,93.99937655860349
5.0,0.23858455874903237,4.983782435129741,94.3746228473286
6.0,0.2187225676192817,5.813227953410982,94.6663506558836
7.0,0.20431005564676372,6.428316690442226,94.88573217662476
8.0,0.19256909351595927,7.038077403245943,95.07410794646228
9.0,0.1828535986975348,7.737930077691454,95.23672018171024
10.0,0.0818895772099495,12.5,97.23837209302326
11.0,0.09642259606925568,14.882425742574258,96.7965691918029
12.0,0.0954671255614034,15.111940298507463,96.7997946314937
13.0,0.09476472937387485,15.126661129568106,96.82526269025728
14.0,0.09402930968791767,14.962593516209477,96.83585367975411
15.0,0.0932805633503282,15.213323353293413,96.85498189667177
16.0,0.09214768753992936,15.55220465890183,96.891324536625
17.0,0.09086478428753059,16.017296718972897,96.9242444348605
18.0,0.08976050223527329,16.32334581772784,96.95257381761171
19.0,0.08870619518080773,16.62735849056604,96.98340667991637
20.0,0.08436351269483566,9.375,96.94767441860465
21.0,0.07788210199906094,21.25618811881188,97.24412848261571
22.0,0.07553282176232456,21.983830845771145,97.31176964017124
23.0,0.07386010530036549,22.757475083056477,97.372131654176
24.0,0.0724942185486344,23.456982543640898,97.42449834715536
25.0,0.07180144361214723,24.239021956087825,97.44667641461264
26.0,0.0716627268012173,24.32924292845258,97.45276767403165
27.0,0.07117669506479432,24.848430813124107,97.47184255050924
28.0,0.07049667848257835,25.273096129837704,97.4894209273292
29.0,0.06994945866435137,25.62083795782464,97.49954830550035
30.0,0.08345386385917664,34.375,97.81976744186046
31.0,0.06305542230458543,32.48762376237624,97.74205618236242
32.0,0.06168059632182121,32.913557213930346,97.75974777276409
33.0,0.06109500936297483,33.51328903654485,97.78210229467666
34.0,0.06080039289601129,34.149002493765586,97.78932030389143
35.0,0.06018795465637824,34.799151696606785,97.821943322657
36.0,0.06000549271206888,35.212146422628955,97.82859478388733
37.0,0.05980352608064527,35.556348074179745,97.8304457087881
38.0,0.05980095306130012,35.70926966292135,97.82974769909706
39.0,0.05955371938306801,35.93576581576026,97.83622202720491
40.0,0.05175826698541641,34.375,98.18313953488372
41.0,0.05445490591228008,40.068069306930695,98.0183628827999
42.0,0.05491420082673801,40.40733830845771,98.00018801342127
43.0,0.05458032388698025,40.90531561461794,98.00881750753302
44.0,0.0541509186565653,41.07699501246883,98.0211172649771
45.0,0.05407805777640043,41.311127744510976,98.01980341642297
46.0,0.054164781400967955,41.06697171381032,98.01602464884108
47.0,0.05422860840215918,41.19115549215407,98.01249460903028
48.0,0.05410252016191179,41.49890761548065,98.02218520454083
49.0,0.05392313515405676,41.77649833518313,98.03053132178717
50.0,0.057091519236564636,34.375,97.81976744186046
51.0,0.050185144722166626,45.823019801980195,98.15219894082432
52.0,0.050677889503946354,45.35136815920398,98.13071271549231
53.0,0.05113095947327804,44.902408637873755,98.11046511627907
54.0,0.05116084974231268,45.19950124688279,98.12278895783797
55.0,0.051291254908590024,45.09106786427146,98.1132212319547
56.0,0.05113395986870898,45.37229617304492,98.11832507835777
57.0,0.05122721239063522,45.34147646219686,98.12093603821783
58.0,0.05087216055432286,45.62265917602996,98.1365952443167
59.0,0.0507810069072359,45.76165371809101,98.14216439098676
60.0,0.030794722959399223,62.5,98.90988372093024
61.0,0.047579041064375695,49.4740099009901,98.26300944047892
62.0,0.0473422711131288,49.7978855721393,98.2749768598866
63.0,0.04711015073217427,50.37375415282392,98.27875106235031
64.0,0.047118247651548456,50.561097256857856,98.27429971582671
65.0,0.04696188040984843,50.66117764471058,98.27728264401429
66.0,0.04676466721874009,50.837146422628955,98.28495627442635
67.0,0.04633218839302255,51.065442225392296,98.29904538367117
68.0,0.04607595679711797,51.322565543071164,98.30489867317017
69.0,0.04569682480868668,51.67175360710322,98.32098701700953
70.0,0.03172885626554489,53.125,98.83720930232558
71.0,0.04302855651124869,53.836633663366335,98.42346880036841
72.0,0.04221751492711442,53.80907960199005,98.44708145319912
73.0,0.04236886140417023,53.75830564784053,98.43882793788148
74.0,0.04252052036325384,53.83416458852868,98.43414719016413
75.0,0.042242690701476356,53.992015968063875,98.44497052406814
76.0,0.04235227632579609,54.0765391014975,98.44215551600047
77.0,0.042001520066964476,54.41333808844508,98.45559085028033
78.0,0.04178358001004295,54.72456304619226,98.46503643701188
79.0,0.04155625523451496,54.99445061043285,98.47424050796273
80.0,0.03497185930609703,50.0,98.47383720930233
81.0,0.04041838666221293,55.66212871287129,98.47887405019571
82.0,0.03955960553602793,56.76305970149254,98.5277102857804
83.0,0.03997556331174516,56.758720930232556,98.52598895155683
84.0,0.03974042702791399,57.1461970074813,98.53237545670707
85.0,0.03961852619316644,57.18562874251497,98.53650257624287
86.0,0.03953302889665629,57.08194675540766,98.53478214603568
87.0,0.03920646245125017,57.26194721825963,98.54868875029028
88.0,0.039149640497755024,57.45552434456929,98.55204613419272
89.0,0.03887285594079028,57.78995560488346,98.56578930387425
90.0,0.0613529309630394,34.375,97.52906976744185
91.0,0.03844712441326073,58.04455445544554,98.53859659221736
92.0,0.038235282872928614,58.69092039800995,98.56784391993521
93.0,0.037752956724369846,58.89742524916944,98.5996291431662
